Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
SNGYO,2025-09-30,-3.3261149156992005,-96.40675652231889
AKFGY,2025-09-30,-2.173401928244832,-88.6210147202246
AVPGY,2025-09-30,-1.131854548643492,-67.75652692961732
SRVGY,2025-09-30,-0.813987297772421,-55.69121837512979
TRGYO,2025-09-30,-0.7361575419827133,-52.1049267603218
RYGYO,2025-09-30,-0.7042049792368061,-50.54984429740208
PSGYO,2025-09-30,-0.6808508891587977,-49.38138991944009
HLGYO,2025-09-30,-0.4561444495566924,-36.62777104170871
AKSGY,2025-09-30,-0.3777058945473932,-31.4567939669146
VKGYO,2025-09-30,-0.1480672015119069,-13.762683978544976
