QuarterEnd,ACSEL_Close_QuarterEnd
2016-03-31,4.5492
2016-06-30,3.9482
2016-09-30,3.4304
2016-12-31,2.8479
2017-03-31,2.5797
2017-06-30,2.7184
2017-09-30,2.5914
2017-12-31,2.4881
2018-03-31,2.4881
2018-06-30,2.413
2018-09-30,2.6315
2018-12-31,3.1309
2019-03-31,3.6399
2019-06-30,3.2536
2019-09-30,4.7726
2019-12-31,6.2426
2020-03-31,5.1842
2020-06-30,9.2828
2020-09-30,21.3337
2020-12-31,16.9246
2021-03-31,19.8904
2021-06-30,16.3908
2021-09-30,15.0779
2021-12-31,17.7913
2022-03-31,27.5517
2022-06-30,45.7207
2022-09-30,48.8157
2022-12-31,76.5923
2023-03-31,62.988
2023-06-30,78.4361
2023-09-30,100.9198
2023-12-31,106.0107
2024-03-31,149.8324
2024-06-30,133.262
2024-09-30,114.4955
2024-12-31,114.0
2025-03-31,104.8
2025-06-30,101.1
2025-09-30,112.3
2025-12-31,97.7
