QuarterEnd,ADEL_Close_QuarterEnd
2016-03-31,1.3191
2016-06-30,1.1928
2016-09-30,1.2243
2016-12-31,1.1132
2017-03-31,1.1153
2017-06-30,1.3829
2017-09-30,1.2477
2017-12-31,1.1961
2018-03-31,1.239
2018-06-30,1.1541
2018-09-30,1.0601
2018-12-31,0.8475
2019-03-31,0.8482
2019-06-30,0.8143
2019-09-30,0.98
2019-12-31,1.2951
2020-03-31,0.8233
2020-06-30,1.1813
2020-09-30,1.6977
2020-12-31,2.8823
2021-03-31,2.0408
2021-06-30,2.1065
2021-09-30,2.165
2021-12-31,2.8504
2022-03-31,2.3653
2022-06-30,2.1098
2022-09-30,2.7407
2022-12-31,9.9014
2023-03-31,8.9773
2023-06-30,15.5342
2023-09-30,45.8661
2023-12-31,29.5697
2024-03-31,57.2886
2024-06-30,43.2309
2024-09-30,37.2449
2024-12-31,32.9013
2025-03-31,30.9162
2025-06-30,29.678
2025-09-30,31.5
2025-12-31,33.0
