QuarterEnd,ADESE_Close_QuarterEnd
2016-03-31,0.4007
2016-06-30,0.306
2016-09-30,0.306
2016-12-31,0.2316
2017-03-31,0.2239
2017-06-30,0.2496
2017-09-30,0.2676
2017-12-31,0.256
2018-03-31,0.2946
2018-06-30,0.3126
2018-09-30,0.3577
2018-12-31,0.3011
2019-03-31,0.2406
2019-06-30,0.1209
2019-09-30,0.3023
2019-12-31,0.247
2020-03-31,0.1781
2020-06-30,0.3476
2020-09-30,0.3788
2020-12-31,0.4843
2021-03-31,0.588
2021-06-30,0.2058
2021-09-30,0.2145
2021-12-31,0.15
2022-03-31,0.154
2022-06-30,0.144
2022-09-30,0.188
2022-12-31,0.398
2023-03-31,0.292
2023-06-30,0.3
2023-09-30,0.472
2023-12-31,0.372
2024-03-31,0.464
2024-06-30,0.432
2024-09-30,0.422
2024-12-31,0.436
2025-03-31,0.376
2025-06-30,1.872
2025-09-30,3.67
2025-12-31,1.52
