QuarterEnd,AEFES_Close_QuarterEnd
2016-03-31,1.524
2016-06-30,1.4007
2016-09-30,1.3085
2016-12-31,1.2696
2017-03-31,1.4266
2017-06-30,1.5912
2017-09-30,1.5242
2017-12-31,1.7631
2018-03-31,1.9511
2018-06-30,1.7476
2018-09-30,1.561
2018-12-31,1.5255
2019-03-31,1.2967
2019-06-30,1.5116
2019-09-30,1.6628
2019-12-31,1.754
2020-03-31,1.3094
2020-06-30,1.6202
2020-09-30,1.7047
2020-12-31,1.9108
2021-03-31,1.7377
2021-06-30,1.9912
2021-09-30,1.9142
2021-12-31,2.6495
2022-03-31,2.4008
2022-06-30,2.5882
2022-09-30,3.8175
2022-12-31,6.4562
2023-03-31,6.1179
2023-06-30,6.4388
2023-09-30,10.3631
2023-12-31,13.4809
2024-03-31,14.9907
2024-06-30,24.5033
2024-09-30,19.4658
2024-12-31,18.9997
2025-03-31,16.5702
2025-06-30,14.97
2025-09-30,13.83
2025-12-31,15.71
