QuarterEnd,AFYON_Close_QuarterEnd
2016-03-31,2.0219
2016-06-30,1.7331
2016-09-30,1.9997
2016-12-31,2.5107
2017-03-31,2.8599
2017-06-30,2.8789
2017-09-30,2.5044
2017-12-31,2.4695
2018-03-31,2.2917
2018-06-30,1.8759
2018-09-30,1.7331
2018-12-31,1.4569
2019-03-31,1.3871
2019-06-30,1.2062
2019-09-30,1.3998
2019-12-31,1.9934
2020-03-31,1.5744
2020-06-30,2.9136
2020-09-30,3.7185
2020-12-31,4.471
2021-03-31,3.666
2021-06-30,3.316
2021-09-30,2.9573
2021-12-31,3.0536
2022-03-31,3.0932
2022-06-30,3.0489
2022-09-30,3.9529
2022-12-31,7.6577
2023-03-31,7.5956
2023-06-30,7.9921
2023-09-30,14.625
2023-12-31,10.0581
2024-03-31,12.3868
2024-06-30,11.5348
2024-09-30,12.9358
2024-12-31,13.8324
2025-03-31,13.8044
2025-06-30,12.65
2025-09-30,13.1
2025-12-31,12.98
