QuarterEnd,AGESA_Close_QuarterEnd
2016-03-31,9.5229
2016-06-30,9.3707
2016-09-30,9.3314
2016-12-31,9.4443
2017-03-31,9.2975
2017-06-30,10.1257
2017-09-30,9.2232
2017-12-31,8.9852
2018-03-31,9.0393
2018-06-30,7.5015
2018-09-30,5.852
2018-12-31,5.9382
2019-03-31,7.7048
2019-06-30,7.2072
2019-09-30,7.4641
2019-12-31,11.3931
2020-03-31,11.2949
2020-06-30,12.4932
2020-09-30,11.8983
2020-12-31,15.5953
2021-03-31,15.5735
2021-06-30,16.3628
2021-09-30,15.7264
2021-12-31,18.6751
2022-03-31,18.4384
2022-06-30,18.8571
2022-09-30,23.2983
2022-12-31,36.713
2023-03-31,23.0305
2023-06-30,32.3215
2023-09-30,68.0873
2023-12-31,57.2947
2024-03-31,69.9174
2024-06-30,124.1826
2024-09-30,116.0316
2024-12-31,156.0194
2025-03-31,127.9
2025-06-30,157.9
2025-09-30,184.0
2025-12-31,221.2
