QuarterEnd,AGHOL_Close_QuarterEnd
2016-03-31,1.1934
2016-06-30,1.1057
2016-09-30,1.1792
2016-12-31,1.1918
2017-03-31,1.8326
2017-06-30,2.0918
2017-09-30,1.7955
2017-12-31,2.2095
2018-03-31,2.2356
2018-06-30,2.0006
2018-09-30,1.61
2018-12-31,0.9591
2019-03-31,1.1099
2019-06-30,0.9965
2019-09-30,1.4668
2019-12-31,1.6646
2020-03-31,1.3221
2020-06-30,1.906
2020-09-30,1.7896
2020-12-31,2.5003
2021-03-31,2.1362
2021-06-30,2.0768
2021-09-30,2.1821
2021-12-31,3.7631
2022-03-31,3.5066
2022-06-30,4.5722
2022-09-30,7.8789
2022-12-31,10.6401
2023-03-31,8.886
2023-06-30,10.6965
2023-09-30,21.0722
2023-12-31,19.5358
2024-03-31,26.5712
2024-06-30,35.6744
2024-09-30,30.5746
2024-12-31,30.6972
2025-03-31,28.9564
2025-06-30,26.0
2025-09-30,25.86
2025-12-31,28.7
