QuarterEnd,AKBNK_Close_QuarterEnd
2016-03-31,5.1611
2016-06-30,5.2963
2016-09-30,5.174
2016-12-31,5.0324
2017-03-31,5.6337
2017-06-30,6.4725
2017-09-30,6.2083
2017-12-31,6.5055
2018-03-31,6.5786
2018-06-30,5.1803
2018-09-30,4.7669
2018-12-31,4.7256
2019-03-31,5.075
2019-06-30,5.4605
2019-09-30,6.5204
2019-12-31,6.5124
2020-03-31,4.4969
2020-06-30,4.8823
2020-09-30,4.1355
2020-12-31,5.5649
2021-03-31,3.862
2021-06-30,4.3478
2021-09-30,4.389
2021-12-31,5.9289
2022-03-31,6.1743
2022-06-30,6.8206
2022-09-30,9.6016
2022-12-31,16.6263
2023-03-31,15.8796
2023-06-30,18.9355
2023-09-30,31.3655
2023-12-31,34.234
2024-03-31,45.7592
2024-06-30,62.6523
2024-09-30,60.2558
2024-12-31,63.4349
2025-03-31,52.25
2025-06-30,68.2
2025-09-30,62.7
2025-12-31,69.8
