QuarterEnd,AKCNS_Close_QuarterEnd
2016-03-31,9.1245
2016-06-30,8.6673
2016-09-30,8.0959
2016-12-31,8.6991
2017-03-31,8.7853
2017-06-30,8.1568
2017-09-30,7.7797
2017-12-31,7.5981
2018-03-31,7.9048
2018-06-30,7.1106
2018-09-30,6.205
2018-12-31,5.4554
2019-03-31,5.4203
2019-06-30,5.2368
2019-09-30,5.6621
2019-12-31,8.3723
2020-03-31,6.0799
2020-06-30,11.158
2020-09-30,11.7539
2020-12-31,14.2843
2021-03-31,16.7306
2021-06-30,13.333
2021-09-30,12.1177
2021-12-31,15.9588
2022-03-31,16.7128
2022-06-30,19.3795
2022-09-30,26.4811
2022-12-31,56.2133
2023-03-31,53.5422
2023-06-30,82.098
2023-09-30,161.0438
2023-12-31,131.9317
2024-03-31,138.5143
2024-06-30,138.3588
2024-09-30,148.7792
2024-12-31,173.6722
2025-03-31,165.1
2025-06-30,132.8
2025-09-30,137.6
2025-12-31,165.4
