QuarterEnd,AKFGY_Close_QuarterEnd
2016-03-31,0.5481
2016-06-30,0.4792
2016-09-30,0.5171
2016-12-31,0.4481
2017-03-31,0.4137
2017-06-30,0.493
2017-09-30,0.6929
2017-12-31,0.8308
2018-03-31,0.7619
2018-06-30,0.5929
2018-09-30,0.686
2018-12-31,0.5688
2019-03-31,0.4964
2019-06-30,0.5102
2019-09-30,0.7825
2019-12-31,1.3962
2020-03-31,0.8584
2020-06-30,1.3272
2020-09-30,1.4099
2020-12-31,1.6754
2021-03-31,1.4203
2021-06-30,1.2755
2021-09-30,1.5547
2021-12-31,3.6599
2022-03-31,1.6532
2022-06-30,1.0457
2022-09-30,1.5038
2022-12-31,2.6291
2023-03-31,1.7378
2023-06-30,2.0914
2023-09-30,2.4847
2023-12-31,1.97
2024-03-31,2.23
2024-06-30,2.32
2024-09-30,2.05
2024-12-31,2.07
2025-03-31,1.96
2025-06-30,2.56
2025-09-30,2.66
2025-12-31,2.57
