QuarterEnd,AKSA_Close_QuarterEnd
2016-03-31,0.2455
2016-06-30,0.1965
2016-09-30,0.2085
2016-12-31,0.2346
2017-03-31,0.2745
2017-06-30,0.3773
2017-09-30,0.3356
2017-12-31,0.3624
2018-03-31,0.4678
2018-06-30,0.3471
2018-09-30,0.303
2018-12-31,0.2256
2019-03-31,0.2776
2019-06-30,0.3145
2019-09-30,0.3315
2019-12-31,0.4658
2020-03-31,0.3772
2020-06-30,0.4849
2020-09-30,0.4742
2020-12-31,0.9704
2021-03-31,1.0775
2021-06-30,1.0522
2021-09-30,1.4344
2021-12-31,2.4079
2022-03-31,3.0626
2022-06-30,4.2235
2022-09-30,4.2016
2022-12-31,6.7131
2023-03-31,5.242
2023-06-30,5.4607
2023-09-30,7.7461
2023-12-31,7.7687
2024-03-31,7.6706
2024-06-30,10.2297
2024-09-30,8.7874
2024-12-31,12.3328
2025-03-31,10.6459
2025-06-30,9.18
2025-09-30,11.07
2025-12-31,9.82
