QuarterEnd,AKSEN_Close_QuarterEnd
2016-03-31,1.2538
2016-06-30,1.1197
2016-09-30,1.2353
2016-12-31,1.3788
2017-03-31,1.4343
2017-06-30,1.8044
2017-09-30,1.5823
2017-12-31,1.9108
2018-03-31,2.0682
2018-06-30,1.9386
2018-09-30,2.0173
2018-12-31,1.24
2019-03-31,1.1336
2019-06-30,1.078
2019-09-30,1.2631
2019-12-31,1.7582
2020-03-31,1.5361
2020-06-30,2.5262
2020-09-30,2.8963
2020-12-31,3.4423
2021-03-31,5.3578
2021-06-30,5.3485
2021-09-30,6.3386
2021-12-31,9.2442
2022-03-31,13.2325
2022-06-30,22.2824
2022-09-30,34.8344
2022-12-31,44.3931
2023-03-31,26.4658
2023-06-30,31.5231
2023-09-30,40.0019
2023-12-31,28.9172
2024-03-31,33.6233
2024-06-30,44.06
2024-09-30,38.34
2024-12-31,39.2
2025-03-31,35.16
2025-06-30,33.34
2025-09-30,37.28
2025-12-31,72.5
