QuarterEnd,AKSGY_Close_QuarterEnd
2016-03-31,0.3931
2016-06-30,0.4057
2016-09-30,0.3877
2016-12-31,0.3794
2017-03-31,0.4112
2017-06-30,0.4894
2017-09-30,0.491
2017-12-31,0.4958
2018-03-31,0.5259
2018-06-30,0.4364
2018-09-30,0.4439
2018-12-31,0.4546
2019-03-31,0.4652
2019-06-30,0.4449
2019-09-30,0.5246
2019-12-31,0.8059
2020-03-31,0.5106
2020-06-30,0.8129
2020-09-30,0.8901
2020-12-31,0.9081
2021-03-31,0.6374
2021-06-30,0.5757
2021-09-30,0.5626
2021-12-31,0.5431
2022-03-31,0.6992
2022-06-30,1.0017
2022-09-30,1.0798
2022-12-31,2.553
2023-03-31,1.6814
2023-06-30,1.8408
2023-09-30,4.1824
2023-12-31,3.8442
2024-03-31,5.3467
2024-06-30,6.108
2024-09-30,6.3203
2024-12-31,7.3492
2025-03-31,6.8005
2025-06-30,6.49
2025-09-30,7.83
2025-12-31,7.53
