QuarterEnd,AKSUE_Close_QuarterEnd
2016-03-31,1.5715
2016-06-30,1.5421
2016-09-30,1.3044
2016-12-31,1.2692
2017-03-31,1.7241
2017-06-30,1.7153
2017-09-30,1.4394
2017-12-31,1.4746
2018-03-31,2.585
2018-06-30,1.7308
2018-09-30,2.4264
2018-12-31,2.1482
2019-03-31,2.3958
2019-06-30,2.3123
2019-09-30,2.2901
2019-12-31,4.1377
2020-03-31,2.0007
2020-06-30,3.1805
2020-09-30,3.1861
2020-12-31,3.929
2021-03-31,3.1808
2021-06-30,3.7274
2021-09-30,6.2471
2021-12-31,13.2231
2022-03-31,15.2638
2022-06-30,14.941
2022-09-30,19.2307
2022-12-31,22.1148
2023-03-31,25.7173
2023-06-30,26.2639
2023-09-30,15.6386
2023-12-31,10.7034
2024-03-31,13.65
2024-06-30,12.09
2024-09-30,10.98
2024-12-31,11.71
2025-03-31,16.45
2025-06-30,18.9
2025-09-30,18.1
2025-12-31,26.0
