QuarterEnd,ALBRK_Close_QuarterEnd
2016-03-31,1.033
2016-06-30,0.8618
2016-09-30,0.784
2016-12-31,0.7711
2017-03-31,0.8099
2017-06-30,0.863
2017-09-30,0.9507
2017-12-31,1.0451
2018-03-31,1.0586
2018-06-30,0.9453
2018-09-30,1.0495
2018-12-31,0.848
2019-03-31,1.0773
2019-06-30,0.8063
2019-09-30,0.9453
2019-12-31,1.1819
2020-03-31,0.8497
2020-06-30,1.2669
2020-09-30,1.1742
2020-12-31,1.4986
2021-03-31,1.3905
2021-06-30,1.151
2021-09-30,1.2746
2021-12-31,1.3441
2022-03-31,1.3905
2022-06-30,1.2062
2022-09-30,1.7995
2022-12-31,3.2586
2023-03-31,2.8209
2023-06-30,2.8598
2023-09-30,4.066
2023-12-31,3.7158
2024-03-31,4.2411
2024-06-30,5.3694
2024-09-30,6.0114
2024-12-31,6.2546
2025-03-31,5.9336
2025-06-30,8.18
2025-09-30,8.27
2025-12-31,7.86
