QuarterEnd,ALCAR_Close_QuarterEnd
2016-03-31,29.6046
2016-06-30,29.2595
2016-09-30,31.8103
2016-12-31,31.4607
2017-03-31,47.4738
2017-06-30,45.6278
2017-09-30,52.5968
2017-12-31,53.079
2018-03-31,49.4849
2018-06-30,38.6818
2018-09-30,39.1985
2018-12-31,36.3195
2019-03-31,36.8732
2019-06-30,32.5731
2019-09-30,34.8985
2019-12-31,55.3651
2020-03-31,35.9135
2020-06-30,68.0068
2020-09-30,129.5008
2020-12-31,338.2595
2021-03-31,382.477
2021-06-30,242.8674
2021-09-30,277.8552
2021-12-31,273.072
2022-03-31,252.6126
2022-06-30,279.3313
2022-09-30,340.9897
2022-12-31,645.9185
2023-03-31,432.1694
2023-06-30,531.8911
2023-09-30,1120.9368
2023-12-31,995.6909
2024-03-31,1535.8556
2024-06-30,1374.1866
2024-09-30,927.2194
2024-12-31,1020.4167
2025-03-31,1081.2804
2025-06-30,877.0
2025-09-30,984.5
2025-12-31,852.0
