QuarterEnd,ALCTL_Close_QuarterEnd
2016-03-31,6.72
2016-06-30,5.55
2016-09-30,7.58
2016-12-31,6.78
2017-03-31,8.16
2017-06-30,11.55
2017-09-30,8.27
2017-12-31,7.98
2018-03-31,7.6
2018-06-30,5.8
2018-09-30,6.31
2018-12-31,5.76
2019-03-31,6.65
2019-06-30,6.54
2019-09-30,8.07
2019-12-31,12.04
2020-03-31,19.93
2020-06-30,18.78
2020-09-30,27.18
2020-12-31,29.66
2021-03-31,30.18
2021-06-30,22.84
2021-09-30,21.92
2021-12-31,23.82
2022-03-31,25.26
2022-06-30,26.74
2022-09-30,37.3
2022-12-31,104.3
2023-03-31,63.85
2023-06-30,88.85
2023-09-30,106.0
2023-12-31,76.35
2024-03-31,115.5
2024-06-30,101.1
2024-09-30,113.4
2024-12-31,119.9
2025-03-31,101.5
2025-06-30,104.7
2025-09-30,117.0
2025-12-31,103.5
