QuarterEnd,ALGYO_Close_QuarterEnd
2016-03-31,0.7684
2016-06-30,0.8615
2016-09-30,0.886
2016-12-31,1.0703
2017-03-31,1.2455
2017-06-30,1.2011
2017-09-30,1.2606
2017-12-31,1.4839
2018-03-31,1.3867
2018-06-30,1.2727
2018-09-30,1.4193
2018-12-31,1.3548
2019-03-31,1.2625
2019-06-30,1.3764
2019-09-30,1.6556
2019-12-31,2.9454
2020-03-31,2.1922
2020-06-30,2.877
2020-09-30,3.4788
2020-12-31,5.2423
2021-03-31,5.2704
2021-06-30,4.135
2021-09-30,4.3668
2021-12-31,6.813
2022-03-31,7.5953
2022-06-30,6.8047
2022-09-30,9.263
2022-12-31,18.1025
2023-03-31,13.8145
2023-06-30,14.1733
2023-09-30,24.0716
2023-12-31,18.4282
2024-03-31,22.024
2024-06-30,22.1
2024-09-30,20.02
2024-12-31,20.94
2025-03-31,18.54
2025-06-30,19.47
2025-09-30,20.68
2025-12-31,29.74
