QuarterEnd,ALKA_Close_QuarterEnd
2016-03-31,0.0647
2016-06-30,0.0587
2016-09-30,0.066
2016-12-31,0.1097
2017-03-31,0.1539
2017-06-30,0.2812
2017-09-30,0.1844
2017-12-31,0.2387
2018-03-31,0.2213
2018-06-30,0.1874
2018-09-30,0.2178
2018-12-31,0.2136
2019-03-31,0.2131
2019-06-30,0.2193
2019-09-30,0.2419
2019-12-31,0.3317
2020-03-31,0.3376
2020-06-30,0.6977
2020-09-30,0.8476
2020-12-31,0.8568
2021-03-31,1.1529
2021-06-30,1.0426
2021-09-30,0.9519
2021-12-31,1.0836
2022-03-31,1.7701
2022-06-30,2.6324
2022-09-30,4.9419
2022-12-31,9.1004
2023-03-31,6.4077
2023-06-30,6.25
2023-09-30,8.835
2023-12-31,6.535
2024-03-31,6.82
2024-06-30,7.12
2024-09-30,6.57
2024-12-31,9.14
2025-03-31,7.13
2025-06-30,6.79
2025-09-30,13.7
2025-12-31,10.58
