QuarterEnd,ALKIM_Close_QuarterEnd
2016-03-31,0.8311
2016-06-30,0.8354
2016-09-30,0.9797
2016-12-31,1.083
2017-03-31,1.4917
2017-06-30,1.5951
2017-09-30,1.4105
2017-12-31,1.548
2018-03-31,1.4304
2018-06-30,1.2255
2018-09-30,1.5343
2018-12-31,1.5474
2019-03-31,1.5866
2019-06-30,1.9094
2019-09-30,1.9007
2019-12-31,2.7527
2020-03-31,3.5831
2020-06-30,5.912
2020-09-30,6.1339
2020-12-31,6.6133
2021-03-31,7.9838
2021-06-30,7.1358
2021-09-30,7.6241
2021-12-31,7.9199
2022-03-31,11.0324
2022-06-30,10.0796
2022-09-30,15.5616
2022-12-31,19.0413
2023-03-31,15.3575
2023-06-30,14.66
2023-09-30,23.51
2023-12-31,17.04
2024-03-31,16.07
2024-06-30,17.14
2024-09-30,16.35
2024-12-31,19.04
2025-03-31,15.25
2025-06-30,14.95
2025-09-30,21.16
2025-12-31,18.4
