QuarterEnd,ANELE_Close_QuarterEnd
2016-03-31,0.4671
2016-06-30,0.4836
2016-09-30,0.7262
2016-12-31,0.5843
2017-03-31,0.9558
2017-06-30,1.0518
2017-09-30,1.228
2017-12-31,1.6359
2018-03-31,1.3886
2018-06-30,1.1239
2018-09-30,0.9547
2018-12-31,0.7532
2019-03-31,0.7392
2019-06-30,0.8322
2019-09-30,0.9159
2019-12-31,1.4924
2020-03-31,1.3576
2020-06-30,2.1433
2020-09-30,2.6214
2020-12-31,2.6837
2021-03-31,5.4943
2021-06-30,2.345
2021-09-30,2.0911
2021-12-31,2.53
2022-03-31,2.32
2022-06-30,2.19
2022-09-30,3.68
2022-12-31,4.44
2023-03-31,4.96
2023-06-30,5.78
2023-09-30,9.25
2023-12-31,12.24
2024-03-31,18.68
2024-06-30,16.45
2024-09-30,14.77
2024-12-31,15.96
2025-03-31,16.03
2025-06-30,17.42
2025-09-30,17.96
2025-12-31,16.69
