QuarterEnd,ANHYT_Close_QuarterEnd
2016-03-31,2.9157
2016-06-30,2.7625
2016-09-30,2.7406
2016-12-31,2.7187
2017-03-31,2.9422
2017-06-30,3.2277
2017-09-30,4.0201
2017-12-31,4.8066
2018-03-31,4.581
2018-06-30,5.3066
2018-09-30,3.9969
2018-12-31,3.6956
2019-03-31,3.5823
2019-06-30,3.2643
2019-09-30,3.4201
2019-12-31,4.4389
2020-03-31,3.8662
2020-06-30,5.3252
2020-09-30,5.5805
2020-12-31,6.3246
2021-03-31,7.3749
2021-06-30,6.9342
2021-09-30,7.2805
2021-12-31,9.4449
2022-03-31,10.822
2022-06-30,10.7041
2022-09-30,11.8747
2022-12-31,19.4375
2023-03-31,14.3134
2023-06-30,16.2171
2023-09-30,44.1435
2023-12-31,34.2121
2024-03-31,40.7633
2024-06-30,119.3811
2024-09-30,102.0028
2024-12-31,98.2249
2025-03-31,87.85
2025-06-30,79.3
2025-09-30,90.35
2025-12-31,98.25
