QuarterEnd,ANSGR_Close_QuarterEnd
2016-03-31,0.3356
2016-06-30,0.3356
2016-09-30,0.3298
2016-12-31,0.3766
2017-03-31,0.4822
2017-06-30,0.5643
2017-09-30,0.5723
2017-12-31,0.6203
2018-03-31,0.857
2018-06-30,0.8796
2018-09-30,0.8899
2018-12-31,0.8487
2019-03-31,0.854
2019-06-30,0.8756
2019-09-30,0.9275
2019-12-31,0.9513
2020-03-31,1.0329
2020-06-30,1.4154
2020-09-30,1.5918
2020-12-31,1.7292
2021-03-31,1.5614
2021-06-30,1.4609
2021-09-30,1.4393
2021-12-31,1.5734
2022-03-31,1.2836
2022-06-30,1.3698
2022-09-30,2.1554
2022-12-31,3.8533
2023-03-31,4.1598
2023-06-30,3.6905
2023-09-30,13.2435
2023-12-31,14.393
2024-03-31,16.3807
2024-06-30,25.6248
2024-09-30,19.1707
2024-12-31,24.9064
2025-03-31,23.25
2025-06-30,23.25
2025-09-30,21.42
2025-12-31,23.2
