QuarterEnd,ARCLK_Close_QuarterEnd
2016-03-31,15.5885
2016-06-30,15.7195
2016-09-30,17.5381
2016-12-31,17.6045
2017-03-31,18.8169
2017-06-30,22.2581
2017-09-30,19.4053
2017-12-31,18.3804
2018-03-31,15.7952
2018-06-30,13.4945
2018-09-30,12.2556
2018-12-31,13.9723
2019-03-31,14.9545
2019-06-30,17.211
2019-09-30,16.8482
2019-12-31,18.441
2020-03-31,11.9813
2020-06-30,17.6092
2020-09-30,21.9451
2020-12-31,26.9004
2021-03-31,31.628
2021-06-30,28.1684
2021-09-30,30.8529
2021-12-31,45.75
2022-03-31,59.4715
2022-06-30,71.2675
2022-09-30,66.0576
2022-12-31,110.2927
2023-03-31,115.2077
2023-06-30,127.7901
2023-09-30,163.0
2023-12-31,128.5
2024-03-31,148.0
2024-06-30,174.4
2024-09-30,144.3
2024-12-31,142.0
2025-03-31,137.1
2025-06-30,122.5
2025-09-30,126.5
2025-12-31,101.0
