QuarterEnd,ARENA_Close_QuarterEnd
2016-03-31,1.5118
2016-06-30,1.1959
2016-09-30,1.3181
2016-12-31,1.2424
2017-03-31,1.2977
2017-06-30,1.2566
2017-09-30,1.2118
2017-12-31,1.2626
2018-03-31,1.2327
2018-06-30,1.0715
2018-09-30,0.9462
2018-12-31,1.3163
2019-03-31,1.0268
2019-06-30,1.0208
2019-09-30,1.3461
2019-12-31,2.2475
2020-03-31,2.8594
2020-06-30,4.3378
2020-09-30,11.0758
2020-12-31,10.613
2021-03-31,16.1046
2021-06-30,11.6816
2021-09-30,9.5205
2021-12-31,12.6843
2022-03-31,13.1418
2022-06-30,13.0983
2022-09-30,12.761
2022-12-31,21.0764
2023-03-31,16.4325
2023-06-30,16.89
2023-09-30,31.94
2023-12-31,31.52
2024-03-31,40.8
2024-06-30,39.46
2024-09-30,30.3
2024-12-31,35.82
2025-03-31,39.48
2025-06-30,30.22
2025-09-30,30.24
2025-12-31,28.3
