QuarterEnd,ARSAN_Close_QuarterEnd
2016-03-31,0.067
2016-06-30,0.0754
2016-09-30,0.0615
2016-12-31,0.0629
2017-03-31,0.0666
2017-06-30,0.0717
2017-09-30,0.0828
2017-12-31,0.0809
2018-03-31,0.1022
2018-06-30,0.0911
2018-09-30,0.0869
2018-12-31,0.0749
2019-03-31,0.0744
2019-06-30,0.0869
2019-09-30,0.1119
2019-12-31,0.1655
2020-03-31,0.1294
2020-06-30,0.2302
2020-09-30,0.2973
2020-12-31,0.337
2021-03-31,0.4864
2021-06-30,0.3366
2021-09-30,0.3653
2021-12-31,0.4634
2022-03-31,0.4418
2022-06-30,0.4316
2022-09-30,0.6788
2022-12-31,1.5305
2023-03-31,0.9283
2023-06-30,0.8644
2023-09-30,1.5235
2023-12-31,1.1975
2024-03-31,1.6187
2024-06-30,1.889
2024-09-30,2.6571
2024-12-31,2.6479
2025-03-31,2.2974
2025-06-30,2.2325
2025-09-30,2.87
2025-12-31,3.8
