QuarterEnd,ASELS_Close_QuarterEnd
2016-03-31,2.1851
2016-06-30,2.2528
2016-09-30,2.2537
2016-12-31,3.0479
2017-03-31,4.0743
2017-06-30,5.2481
2017-09-30,6.3199
2017-12-31,7.6475
2018-03-31,7.4359
2018-06-30,5.5719
2018-09-30,6.6474
2018-12-31,5.8096
2019-03-31,5.1341
2019-06-30,4.3548
2019-09-30,4.8804
2019-12-31,5.0926
2020-03-31,5.7395
2020-06-30,7.8992
2020-09-30,9.4251
2020-12-31,8.9517
2021-03-31,7.3331
2021-06-30,7.2203
2021-09-30,7.4263
2021-12-31,10.3391
2022-03-31,11.9533
2022-06-30,11.3195
2022-09-30,14.5084
2022-12-31,30.9263
2023-03-31,25.8507
2023-06-30,27.0947
2023-09-30,40.6047
2023-12-31,44.8494
2024-03-31,55.9371
2024-06-30,58.4299
2024-09-30,59.078
2024-12-31,72.4077
2025-03-31,119.7474
2025-06-30,150.6081
2025-09-30,214.7264
2025-12-31,231.7
