QuarterEnd,ATAGY_Close_QuarterEnd
2016-03-31,2.3812
2016-06-30,2.739
2016-09-30,2.6686
2016-12-31,2.7038
2017-03-31,2.739
2017-06-30,2.4516
2017-09-30,2.4809
2017-12-31,2.8094
2018-03-31,2.346
2018-06-30,2.3578
2018-09-30,2.4164
2018-12-31,2.3519
2019-03-31,2.258
2019-06-30,2.3226
2019-09-30,2.3988
2019-12-31,2.6569
2020-03-31,2.1877
2020-06-30,2.2053
2020-09-30,2.1994
2020-12-31,3.2316
2021-03-31,2.8328
2021-06-30,2.0234
2021-09-30,2.5337
2021-12-31,2.0645
2022-03-31,2.2874
2022-06-30,2.1173
2022-09-30,2.8915
2022-12-31,5.05
2023-03-31,4.42
2023-06-30,7.02
2023-09-30,9.79
2023-12-31,8.74
2024-03-31,11.81
2024-06-30,13.3
2024-09-30,10.67
2024-12-31,11.4
2025-03-31,10.74
2025-06-30,10.79
2025-09-30,14.46
2025-12-31,15.48
