QuarterEnd,ATEKS_Close_QuarterEnd
2016-03-31,9.9954
2016-06-30,8.3263
2016-09-30,8.8827
2016-12-31,8.9594
2017-03-31,8.8539
2017-06-30,9.7844
2017-09-30,12.0386
2017-12-31,13.5351
2018-03-31,9.9187
2018-06-30,9.0362
2018-09-30,8.2112
2018-12-31,9.065
2019-03-31,8.5374
2019-06-30,8.32
2019-09-30,9.71
2019-12-31,13.79
2020-03-31,8.6
2020-06-30,13.3
2020-09-30,21.38
2020-12-31,31.76
2021-03-31,50.3
2021-06-30,32.0
2021-09-30,31.02
2021-12-31,43.12
2022-03-31,38.12
2022-06-30,36.78
2022-09-30,42.22
2022-12-31,110.9
2023-03-31,74.8
2023-06-30,79.45
2023-09-30,101.3
2023-12-31,89.3
2024-03-31,143.9
2024-06-30,166.5
2024-09-30,154.0
2024-12-31,169.9
2025-03-31,80.4
2025-06-30,76.1
2025-09-30,81.0
2025-12-31,172.8
