QuarterEnd,ATSYH_Close_QuarterEnd
2016-03-31,0.34
2016-06-30,0.32
2016-09-30,0.27
2016-12-31,0.67
2017-03-31,0.82
2017-06-30,0.6
2017-09-30,0.49
2017-12-31,0.49
2018-03-31,0.76
2018-06-30,0.38
2018-09-30,0.39
2018-12-31,0.18
2019-03-31,0.44
2019-06-30,0.39
2019-09-30,0.4
2019-12-31,1.0
2020-03-31,1.2
2020-06-30,2.05
2020-09-30,3.65
2020-12-31,5.56
2021-03-31,4.32
2021-06-30,3.73
2021-09-30,5.02
2021-12-31,8.79
2022-03-31,19.85
2022-06-30,49.9
2022-09-30,141.0
2022-12-31,117.0
2023-03-31,85.0
2023-06-30,60.0
2023-09-30,88.2
2023-12-31,47.0
2024-03-31,46.3
2024-06-30,45.82
2024-09-30,67.45
2024-12-31,46.0
2025-03-31,42.88
2025-06-30,59.35
2025-09-30,71.05
2025-12-31,75.2
