QuarterEnd,AVGYO_Close_QuarterEnd
2016-03-31,0.6065
2016-06-30,0.5742
2016-09-30,0.6323
2016-12-31,0.8065
2017-03-31,2.1226
2017-06-30,3.3419
2017-09-30,0.9548
2017-12-31,1.0194
2018-03-31,1.0129
2018-06-30,0.8387
2018-09-30,0.729
2018-12-31,0.5677
2019-03-31,0.7419
2019-06-30,0.8516
2019-09-30,0.7613
2019-12-31,0.9742
2020-03-31,0.7226
2020-06-30,1.3806
2020-09-30,1.4645
2020-12-31,2.6194
2021-03-31,3.48
2021-06-30,2.45
2021-09-30,1.89
2021-12-31,2.96
2022-03-31,2.89
2022-06-30,2.44
2022-09-30,2.81
2022-12-31,4.61
2023-03-31,3.03
2023-06-30,5.59
2023-09-30,7.55
2023-12-31,8.59
2024-03-31,7.85
2024-06-30,7.52
2024-09-30,8.36
2024-12-31,8.65
2025-03-31,8.74
2025-06-30,9.06
2025-09-30,12.96
2025-12-31,9.49
