QuarterEnd,AVHOL_Close_QuarterEnd
2016-03-31,2.78
2016-06-30,1.6933
2016-09-30,1.3933
2016-12-31,1.3
2017-03-31,2.1867
2017-06-30,1.52
2017-09-30,1.2933
2017-12-31,1.22
2018-03-31,1.6267
2018-06-30,1.9733
2018-09-30,1.8933
2018-12-31,2.43
2019-03-31,2.65
2019-06-30,1.67
2019-09-30,2.19
2019-12-31,1.54
2020-03-31,0.92
2020-06-30,1.73
2020-09-30,3.25
2020-12-31,6.0
2021-03-31,9.0
2021-06-30,5.37
2021-09-30,5.82
2021-12-31,5.88
2022-03-31,5.42
2022-06-30,7.62
2022-09-30,8.55
2022-12-31,14.0
2023-03-31,22.04
2023-06-30,98.85
2023-09-30,76.4
2023-12-31,30.34
2024-03-31,42.78
2024-06-30,39.3
2024-09-30,33.8
2024-12-31,34.86
2025-03-31,34.48
2025-06-30,40.5
2025-09-30,45.38
2025-12-31,36.98
