QuarterEnd,AYGAZ_Close_QuarterEnd
2016-03-31,6.2605
2016-06-30,6.2618
2016-09-30,6.0154
2016-12-31,6.7379
2017-03-31,8.2333
2017-06-30,9.7082
2017-09-30,9.3722
2017-12-31,10.0007
2018-03-31,9.9831
2018-06-30,7.5408
2018-09-30,8.4515
2018-12-31,7.8168
2019-03-31,7.5697
2019-06-30,6.9016
2019-09-30,9.2362
2019-12-31,10.093
2020-03-31,6.9802
2020-06-30,9.9717
2020-09-30,9.3983
2020-12-31,12.1738
2021-03-31,12.2901
2021-06-30,11.4217
2021-09-30,13.2066
2021-12-31,19.2564
2022-03-31,22.8777
2022-06-30,32.4937
2022-09-30,38.8284
2022-12-31,83.4155
2023-03-31,59.3449
2023-06-30,79.7461
2023-09-30,143.1181
2023-12-31,119.4864
2024-03-31,134.8868
2024-06-30,166.6173
2024-09-30,139.7734
2024-12-31,163.7478
2025-03-31,156.25
2025-06-30,128.0
2025-09-30,182.4
2025-12-31,198.9
