QuarterEnd,BAKAB_Close_QuarterEnd
2016-03-31,0.9686
2016-06-30,0.9366
2016-09-30,0.9966
2016-12-31,1.1487
2017-03-31,1.617
2017-06-30,2.1793
2017-09-30,2.0015
2017-12-31,2.1169
2018-03-31,2.9858
2018-06-30,2.4216
2018-09-30,2.2272
2018-12-31,2.2066
2019-03-31,2.1195
2019-06-30,2.2196
2019-09-30,2.7932
2019-12-31,3.4447
2020-03-31,3.1775
2020-06-30,4.4335
2020-09-30,6.7809
2020-12-31,9.5519
2021-03-31,10.8854
2021-06-30,8.8426
2021-09-30,9.6116
2021-12-31,9.1431
2022-03-31,9.4522
2022-06-30,10.65
2022-09-30,13.93
2022-12-31,30.2
2023-03-31,19.35
2023-06-30,23.5
2023-09-30,40.35
2023-12-31,36.5
2024-03-31,43.16
2024-06-30,41.96
2024-09-30,33.38
2024-12-31,36.82
2025-03-31,29.08
2025-06-30,29.5
2025-09-30,38.78
2025-12-31,37.3
