QuarterEnd,BALAT_Close_QuarterEnd
2016-03-31,0.75
2016-06-30,0.73
2016-09-30,0.65
2016-12-31,0.62
2017-03-31,0.54
2017-06-30,0.61
2017-09-30,0.58
2017-12-31,0.56
2018-03-31,0.52
2018-06-30,0.48
2018-09-30,0.42
2018-12-31,0.33
2019-03-31,0.37
2019-06-30,0.29
2019-09-30,0.3
2019-12-31,1.24
2020-03-31,1.75
2020-06-30,2.2
2020-09-30,9.24
2020-12-31,8.24
2021-03-31,7.63
2021-06-30,5.09
2021-09-30,8.65
2021-12-31,9.04
2022-03-31,8.2
2022-06-30,13.24
2022-09-30,9.58
2022-12-31,24.18
2023-03-31,13.9
2023-06-30,14.25
2023-09-30,26.3
2023-12-31,18.6
2024-03-31,24.9
2024-06-30,38.5
2024-09-30,47.34
2024-12-31,56.0
2025-03-31,62.0
2025-06-30,49.0
2025-09-30,68.95
2025-12-31,108.2
