QuarterEnd,BANVT_Close_QuarterEnd
2016-03-31,2.53
2016-06-30,2.21
2016-09-30,4.01
2016-12-31,6.44
2017-03-31,10.82
2017-06-30,13.01
2017-09-30,17.98
2017-12-31,21.42
2018-03-31,16.3
2018-06-30,12.13
2018-09-30,15.22
2018-12-31,10.79
2019-03-31,9.91
2019-06-30,13.98
2019-09-30,14.34
2019-12-31,18.57
2020-03-31,16.22
2020-06-30,24.56
2020-09-30,25.2
2020-12-31,52.0
2021-03-31,54.7
2021-06-30,55.0
2021-09-30,66.4
2021-12-31,93.85
2022-03-31,87.95
2022-06-30,107.5
2022-09-30,83.1
2022-12-31,92.5
2023-03-31,77.5
2023-06-30,80.5
2023-09-30,102.7
2023-12-31,89.5
2024-03-31,155.1
2024-06-30,345.0
2024-09-30,351.5
2024-12-31,301.0
2025-03-31,245.0
2025-06-30,181.7
2025-09-30,183.1
2025-12-31,162.0
