QuarterEnd,BASCM_Close_QuarterEnd
2016-03-31,0.4907
2016-06-30,0.6146
2016-09-30,0.5554
2016-12-31,0.5235
2017-03-31,0.6373
2017-06-30,0.6559
2017-09-30,0.591
2017-12-31,0.6135
2018-03-31,0.6808
2018-06-30,0.6532
2018-09-30,0.565
2018-12-31,0.5236
2019-03-31,0.4743
2019-06-30,0.4536
2019-09-30,0.4769
2019-12-31,0.6713
2020-03-31,0.648
2020-06-30,1.1016
2020-09-30,1.6718
2020-12-31,4.5022
2021-03-31,3.6287
2021-06-30,3.0455
2021-09-30,2.4546
2021-12-31,2.566
2022-03-31,2.4228
2022-06-30,2.4443
2022-09-30,2.9748
2022-12-31,4.93
2023-03-31,4.6
2023-06-30,4.65
2023-09-30,10.42
2023-12-31,8.6
2024-03-31,16.56
2024-06-30,12.99
2024-09-30,11.22
2024-12-31,12.15
2025-03-31,10.27
2025-06-30,10.1
2025-09-30,15.7
2025-12-31,13.67
