QuarterEnd,BERA_Close_QuarterEnd
2016-03-31,0.4801
2016-06-30,0.4232
2016-09-30,0.4009
2016-12-31,0.3885
2017-03-31,0.3885
2017-06-30,0.5667
2017-09-30,0.5915
2017-12-31,1.5344
2018-03-31,1.4304
2018-06-30,0.9899
2018-09-30,0.8959
2018-12-31,1.0196
2019-03-31,0.8513
2019-06-30,0.8959
2019-09-30,1.1483
2019-12-31,1.9056
2020-03-31,1.3809
2020-06-30,2.158
2020-09-30,5.0486
2020-12-31,10.0377
2021-03-31,12.0967
2021-06-30,5.9444
2021-09-30,5.1673
2021-12-31,4.811
2022-03-31,5.009
2022-06-30,7.1769
2022-09-30,9.9226
2022-12-31,15.001
2023-03-31,11.3729
2023-06-30,11.3828
2023-09-30,17.1
2023-12-31,11.48
2024-03-31,19.72
2024-06-30,19.16
2024-09-30,14.94
2024-12-31,14.93
2025-03-31,16.42
2025-06-30,14.66
2025-09-30,16.8
2025-12-31,17.5
