QuarterEnd,BEYAZ_Close_QuarterEnd
2016-03-31,1.3734
2016-06-30,1.2303
2016-09-30,1.2303
2016-12-31,2.7878
2017-03-31,2.982
2017-06-30,3.0877
2017-09-30,4.341
2017-12-31,31.5031
2018-03-31,51.5466
2018-06-30,6.88
2018-09-30,5.1734
2018-12-31,2.5586
2019-03-31,3.4864
2019-06-30,2.6804
2019-09-30,3.2334
2019-12-31,2.9616
2020-03-31,2.4836
2020-06-30,3.7471
2020-09-30,7.3996
2020-12-31,9.6328
2021-03-31,11.4401
2021-06-30,8.5824
2021-09-30,8.4197
2021-12-31,8.3719
2022-03-31,8.047
2022-06-30,9.0113
2022-09-30,12.1907
2022-12-31,17.9739
2023-03-31,17.7106
2023-06-30,13.2287
2023-09-30,19.9174
2023-12-31,19.3426
2024-03-31,22.2956
2024-06-30,21.8316
2024-09-30,24.8566
2024-12-31,27.1652
2025-03-31,21.155
2025-06-30,20.18
2025-09-30,33.58
2025-12-31,27.08
