QuarterEnd,BFREN_Close_QuarterEnd
2016-03-31,2.8298
2016-06-30,2.3827
2016-09-30,2.3369
2016-12-31,2.3454
2017-03-31,2.522
2017-06-30,2.519
2017-09-30,3.4515
2017-12-31,3.411
2018-03-31,3.3316
2018-06-30,2.8657
2018-09-30,3.1544
2018-12-31,3.0166
2019-03-31,2.9849
2019-06-30,3.1099
2019-09-30,3.8582
2019-12-31,5.7242
2020-03-31,3.6667
2020-06-30,6.0627
2020-09-30,17.4323
2020-12-31,24.764
2021-03-31,21.446
2021-06-30,16.2314
2021-09-30,16.2716
2021-12-31,21.1451
2022-03-31,21.0786
2022-06-30,21.2555
2022-09-30,29.6242
2022-12-31,80.2364
2023-03-31,100.1137
2023-06-30,83.7071
2023-09-30,125.5702
2023-12-31,221.1803
2024-03-31,265.4612
2024-06-30,216.7389
2024-09-30,177.309
2024-12-31,170.4025
2025-03-31,168.8956
2025-06-30,154.4
2025-09-30,183.5
2025-12-31,154.5
