QuarterEnd,BIGTK_Close_QuarterEnd
2016-03-31,1.91
2016-06-30,1.93
2016-09-30,2.6
2016-12-31,2.97
2017-03-31,3.1
2017-06-30,4.51
2017-09-30,4.07
2017-12-31,3.32
2018-03-31,3.45
2018-06-30,2.63
2018-09-30,2.96
2018-12-31,3.01
2019-03-31,2.68
2019-06-30,3.12
2019-09-30,3.24
2019-12-31,6.07
2020-03-31,3.41
2020-06-30,13.0
2020-09-30,19.0
2020-12-31,22.44
2021-03-31,18.9
2021-06-30,14.1
2021-09-30,23.2
2021-12-31,70.5
2022-03-31,62.2
2022-06-30,40.22
2022-09-30,42.44
2022-12-31,65.6
2023-03-31,44.24
2023-06-30,40.7
2023-09-30,72.35
2023-12-31,64.5
2024-03-31,185.0
2024-06-30,203.9
2024-09-30,205.5
2024-12-31,176.1
2025-03-31,196.6
2025-06-30,331.75
2025-09-30,334.25
2025-12-31,306.5
