QuarterEnd,BIMAS_Close_QuarterEnd
2016-03-31,22.6198
2016-06-30,20.9825
2016-09-30,18.7363
2016-12-31,18.5384
2017-03-31,21.1489
2017-06-30,25.0373
2017-09-30,28.4908
2017-12-31,30.1907
2018-03-31,27.794
2018-06-30,26.3921
2018-09-30,31.9732
2018-12-31,34.5414
2019-03-31,30.2535
2019-06-30,32.1136
2019-09-30,39.6087
2019-12-31,38.4674
2020-03-31,41.3447
2020-06-30,56.6075
2020-09-30,57.9395
2020-12-31,62.851
2021-03-31,60.3423
2021-06-30,54.7892
2021-09-30,56.3319
2021-12-31,55.7194
2022-03-31,76.9437
2022-06-30,74.8315
2022-09-30,107.0872
2022-12-31,128.1555
2023-03-31,139.2018
2023-06-30,161.5618
2023-09-30,260.2992
2023-12-31,287.8122
2024-03-31,345.4704
2024-06-30,521.5549
2024-09-30,476.5298
2024-12-31,515.7103
2025-03-31,447.1604
2025-06-30,486.647
2025-09-30,536.225
2025-12-31,536.5
