QuarterEnd,BIZIM_Close_QuarterEnd
2016-03-31,10.0992
2016-06-30,8.8373
2016-09-30,8.1326
2016-12-31,6.7356
2017-03-31,7.4528
2017-06-30,7.5151
2017-09-30,7.328
2017-12-31,7.2033
2018-03-31,7.3623
2018-06-30,5.5662
2018-09-30,5.7439
2018-12-31,6.3614
2019-03-31,6.9227
2019-06-30,6.2304
2019-09-30,8.0452
2019-12-31,10.6283
2020-03-31,9.0869
2020-06-30,18.5544
2020-09-30,15.1956
2020-12-31,14.7429
2021-03-31,14.1287
2021-06-30,11.1628
2021-09-30,12.2186
2021-12-31,12.1986
2022-03-31,14.6994
2022-06-30,15.3393
2022-09-30,23.0976
2022-12-31,35.0107
2023-03-31,25.0077
2023-06-30,26.898
2023-09-30,48.0659
2023-12-31,37.14
2024-03-31,42.08
2024-06-30,34.9
2024-09-30,29.18
2024-12-31,29.0
2025-03-31,25.8
2025-06-30,25.56
2025-09-30,26.66
2025-12-31,25.9
