QuarterEnd,BJKAS_Close_QuarterEnd
2016-03-31,0.8373
2016-06-30,0.5753
2016-09-30,0.7063
2016-12-31,0.6632
2017-03-31,0.8688
2017-06-30,0.7262
2017-09-30,0.7428
2017-12-31,0.6781
2018-03-31,0.6184
2018-06-30,0.4228
2018-09-30,0.3598
2018-12-31,0.2686
2019-03-31,0.2321
2019-06-30,0.2437
2019-09-30,0.2802
2019-12-31,0.4062
2020-03-31,0.3233
2020-06-30,0.5007
2020-09-30,0.5736
2020-12-31,0.6698
2021-03-31,1.3811
2021-06-30,0.9948
2021-09-30,0.9782
2021-12-31,0.688
2022-03-31,0.5952
2022-06-30,0.6831
2022-09-30,0.9069
2022-12-31,0.9848
2023-03-31,1.3844
2023-06-30,3.7469
2023-09-30,7.2286
2023-12-31,7.1059
2024-03-31,8.53
2024-06-30,5.7033
2024-09-30,4.2285
2024-12-31,3.4805
2025-03-31,2.503
2025-06-30,1.98
2025-09-30,2.09
2025-12-31,1.63
