QuarterEnd,BLCYT_Close_QuarterEnd
2016-03-31,0.4809
2016-06-30,0.4133
2016-09-30,0.4471
2016-12-31,0.4358
2017-03-31,0.4321
2017-06-30,0.6012
2017-09-30,0.635
2017-12-31,0.5899
2018-03-31,0.8679
2018-06-30,0.555
2018-09-30,0.6012
2018-12-31,0.5416
2019-03-31,0.677
2019-06-30,0.6853
2019-09-30,1.1736
2019-12-31,1.8717
2020-03-31,2.677
2020-06-30,3.4608
2020-09-30,3.5783
2020-12-31,4.3358
2021-03-31,11.2312
2021-06-30,11.6361
2021-09-30,12.9447
2021-12-31,11.0876
2022-03-31,11.9495
2022-06-30,11.068
2022-09-30,11.5944
2022-12-31,19.5202
2023-03-31,11.2805
2023-06-30,13.2
2023-09-30,19.48
2023-12-31,14.53
2024-03-31,16.94
2024-06-30,16.87
2024-09-30,18.97
2024-12-31,15.27
2025-03-31,14.91
2025-06-30,16.22
2025-09-30,24.86
2025-12-31,32.16
