QuarterEnd,BLUME_Close_QuarterEnd
2016-03-31,0.2061
2016-06-30,0.214
2016-09-30,0.2277
2016-12-31,0.2787
2017-03-31,0.3003
2017-06-30,0.2866
2017-09-30,0.2944
2017-12-31,0.2905
2018-03-31,0.316
2018-06-30,0.2513
2018-09-30,0.2414
2018-12-31,0.2061
2019-03-31,0.2022
2019-06-30,0.2395
2019-09-30,0.3102
2019-12-31,0.3494
2020-03-31,0.2591
2020-06-30,0.4436
2020-09-30,1.8118
2020-12-31,4.3382
2021-03-31,5.3393
2021-06-30,3.4286
2021-09-30,1.7223
2021-12-31,2.1516
2022-03-31,1.9369
2022-06-30,2.2106
2022-09-30,2.0443
2022-12-31,4.6358
2023-03-31,2.5593
2023-06-30,2.9832
2023-09-30,9.8725
2023-12-31,7.5654
2024-03-31,9.25
2024-06-30,13.83
2024-09-30,14.72
2024-12-31,17.18
2025-03-31,16.09
2025-06-30,32.54
2025-09-30,65.45
2025-12-31,52.5
