QuarterEnd,BOSSA_Close_QuarterEnd
2016-03-31,0.0588
2016-06-30,0.0532
2016-09-30,0.0569
2016-12-31,0.0698
2017-03-31,0.0862
2017-06-30,0.1118
2017-09-30,0.1028
2017-12-31,0.1141
2018-03-31,0.4114
2018-06-30,0.2075
2018-09-30,0.1816
2018-12-31,0.2005
2019-03-31,0.2036
2019-06-30,0.1855
2019-09-30,0.2232
2019-12-31,0.3844
2020-03-31,0.3329
2020-06-30,0.4912
2020-09-30,0.5604
2020-12-31,0.8513
2021-03-31,1.1933
2021-06-30,1.2972
2021-09-30,1.3373
2021-12-31,1.7713
2022-03-31,1.8743
2022-06-30,2.7423
2022-09-30,3.0397
2022-12-31,4.1406
2023-03-31,3.4121
2023-06-30,3.905
2023-09-30,6.22
2023-12-31,4.725
2024-03-31,5.08
2024-06-30,8.54
2024-09-30,7.08
2024-12-31,7.19
2025-03-31,6.5
2025-06-30,6.18
2025-09-30,6.95
2025-12-31,6.29
