QuarterEnd,BRISA_Close_QuarterEnd
2016-03-31,6.2255
2016-06-30,5.6357
2016-09-30,5.3168
2016-12-31,4.9262
2017-03-31,5.0458
2017-06-30,5.7154
2017-09-30,5.5639
2017-12-31,5.7951
2018-03-31,5.6117
2018-06-30,4.9422
2018-09-30,5.3806
2018-12-31,5.0458
2019-03-31,5.7632
2019-06-30,4.7429
2019-09-30,4.9422
2019-12-31,7.5806
2020-03-31,5.8195
2020-06-30,10.1921
2020-09-30,10.0871
2020-12-31,16.1167
2021-03-31,22.6395
2021-06-30,16.7965
2021-09-30,18.0783
2021-12-31,24.2209
2022-03-31,25.5581
2022-06-30,32.1961
2022-09-30,32.1251
2022-12-31,52.8024
2023-03-31,44.8339
2023-06-30,54.4995
2023-09-30,86.2593
2023-12-31,73.3465
2024-03-31,115.9302
2024-06-30,109.7697
2024-09-30,89.6697
2024-12-31,88.5476
2025-03-31,86.75
2025-06-30,71.95
2025-09-30,79.5
2025-12-31,85.95
