QuarterEnd,BRKSN_Close_QuarterEnd
2016-03-31,0.2403
2016-06-30,0.2241
2016-09-30,0.3133
2016-12-31,0.4578
2017-03-31,0.3004
2017-06-30,0.315
2017-09-30,0.3182
2017-12-31,0.3621
2018-03-31,0.3669
2018-06-30,0.2987
2018-09-30,0.2728
2018-12-31,0.2939
2019-03-31,0.289
2019-06-30,0.2468
2019-09-30,0.3133
2019-12-31,0.4449
2020-03-31,0.4026
2020-06-30,0.6851
2020-09-30,0.9563
2020-12-31,1.4482
2021-03-31,1.7859
2021-06-30,1.458
2021-09-30,1.3167
2021-12-31,1.2745
2022-03-31,1.3053
2022-06-30,1.4255
2022-09-30,1.5821
2022-12-31,3.8543
2023-03-31,2.8061
2023-06-30,3.3612
2023-09-30,7.3175
2023-12-31,7.5561
2024-03-31,14.6151
2024-06-30,11.4402
2024-09-30,9.8866
2024-12-31,8.0333
2025-03-31,7.4067
2025-06-30,6.68
2025-09-30,9.9
2025-12-31,7.3
