QuarterEnd,BRMEN_Close_QuarterEnd
2016-03-31,0.2822
2016-06-30,0.3763
2016-09-30,0.3091
2016-12-31,0.3024
2017-03-31,0.3998
2017-06-30,0.5544
2017-09-30,0.4368
2017-12-31,0.4737
2018-03-31,0.5073
2018-06-30,0.3763
2018-09-30,0.3158
2018-12-31,0.3931
2019-03-31,0.2385
2019-06-30,0.2453
2019-09-30,0.3192
2019-12-31,0.383
2020-03-31,0.3461
2020-06-30,0.5712
2020-09-30,0.8366
2020-12-31,1.1625
2021-03-31,0.9743
2021-06-30,0.7055
2021-09-30,0.7727
2021-12-31,0.6384
2022-03-31,0.7089
2022-06-30,0.6048
2022-09-30,0.9038
2022-12-31,1.2233
2023-03-31,0.948
2023-06-30,1.181
2023-09-30,1.9754
2023-12-31,2.1025
2024-03-31,3.4794
2024-06-30,2.6691
2024-09-30,2.7327
2024-12-31,3.0981
2025-03-31,2.8439
2025-06-30,2.8333
2025-09-30,6.2756
2025-12-31,8.53
