QuarterEnd,BRSAN_Close_QuarterEnd
2016-03-31,5.0787
2016-06-30,5.8548
2016-09-30,7.1082
2016-12-31,6.3704
2017-03-31,7.1558
2017-06-30,7.1263
2017-09-30,8.9269
2017-12-31,9.9244
2018-03-31,10.4485
2018-06-30,8.3574
2018-09-30,7.7643
2018-12-31,7.0094
2019-03-31,8.582
2019-06-30,7.85
2019-09-30,9.44
2019-12-31,11.45
2020-03-31,7.44
2020-06-30,11.67
2020-09-30,15.41
2020-12-31,27.8
2021-03-31,28.28
2021-06-30,23.04
2021-09-30,22.92
2021-12-31,27.0
2022-03-31,28.22
2022-06-30,36.14
2022-09-30,48.1
2022-12-31,84.05
2023-03-31,103.7
2023-06-30,269.5
2023-09-30,703.9
2023-12-31,591.0
2024-03-31,629.5
2024-06-30,451.0
2024-09-30,473.75
2024-12-31,431.0
2025-03-31,371.25
2025-06-30,323.0
2025-09-30,426.0
2025-12-31,555.0
