QuarterEnd,BRYAT_Close_QuarterEnd
2016-03-31,23.2019
2016-06-30,20.9052
2016-09-30,22.9907
2016-12-31,24.926
2017-03-31,33.4683
2017-06-30,34.9945
2017-09-30,32.1176
2017-12-31,37.0134
2018-03-31,33.9851
2018-06-30,32.5971
2018-09-30,33.7123
2018-12-31,32.2711
2019-03-31,31.6192
2019-06-30,31.5156
2019-09-30,31.6403
2019-12-31,55.0944
2020-03-31,45.8749
2020-06-30,63.7259
2020-09-30,163.4987
2020-12-31,420.1493
2021-03-31,407.6871
2021-06-30,267.1978
2021-09-30,306.5052
2021-12-31,351.2694
2022-03-31,347.6624
2022-06-30,358.5932
2022-09-30,537.1867
2022-12-31,1089.3735
2023-03-31,784.6133
2023-06-30,1312.4354
2023-09-30,2096.6663
2023-12-31,2245.8479
2024-03-31,3297.0959
2024-06-30,2230.3252
2024-09-30,1912.5378
2024-12-31,1975.514
2025-03-31,1870.8767
2025-06-30,1808.0
2025-09-30,2262.0
2025-12-31,2200.0
