QuarterEnd,BSOKE_Close_QuarterEnd
2016-03-31,0.3407
2016-06-30,0.3202
2016-09-30,0.3027
2016-12-31,0.2954
2017-03-31,0.3012
2017-06-30,0.3275
2017-09-30,0.3813
2017-12-31,0.435
2018-03-31,0.3935
2018-06-30,0.3373
2018-09-30,0.3041
2018-12-31,0.2858
2019-03-31,0.2491
2019-06-30,0.2412
2019-09-30,0.27
2019-12-31,0.3434
2020-03-31,0.215
2020-06-30,0.3985
2020-09-30,0.4771
2020-12-31,0.6397
2021-03-31,1.0303
2021-06-30,0.5689
2021-09-30,0.7839
2021-12-31,0.5453
2022-03-31,0.6528
2022-06-30,0.5741
2022-09-30,0.7262
2022-12-31,1.4917
2023-03-31,1.0251
2023-06-30,0.9228
2023-09-30,1.2794
2023-12-31,3.0201
2024-03-31,6.6905
2024-06-30,8.7144
2024-09-30,13.0978
2024-12-31,11.94
2025-03-31,13.14
2025-06-30,14.46
2025-09-30,15.07
2025-12-31,16.3
