QuarterEnd,BURCE_Close_QuarterEnd
2016-03-31,0.3246
2016-06-30,0.3057
2016-09-30,0.3206
2016-12-31,0.3335
2017-03-31,0.3414
2017-06-30,0.395
2017-09-30,0.3782
2017-12-31,0.3821
2018-03-31,0.3811
2018-06-30,0.3127
2018-09-30,0.3246
2018-12-31,0.3186
2019-03-31,0.3057
2019-06-30,0.2819
2019-09-30,0.3801
2019-12-31,0.5767
2020-03-31,0.5221
2020-06-30,0.9171
2020-09-30,2.1518
2020-12-31,2.0863
2021-03-31,2.4575
2021-06-30,1.7915
2021-09-30,2.269
2021-12-31,3.0054
2022-03-31,3.057
2022-06-30,2.4873
2022-09-30,2.9618
2022-12-31,5.1662
2023-03-31,4.6749
2023-06-30,16.3572
2023-09-30,12.0098
2023-12-31,12.248
2024-03-31,18.5606
2024-06-30,23.8211
2024-09-30,21.75
2024-12-31,18.54
2025-03-31,15.07
2025-06-30,15.35
2025-09-30,18.64
2025-12-31,57.75
