QuarterEnd,CASA_Close_QuarterEnd
2016-03-31,2.454
2016-06-30,2.2046
2016-09-30,2.035
2016-12-31,2.444
2017-03-31,3.9703
2017-06-30,5.0976
2017-09-30,4.9878
2017-12-31,4.9379
2018-03-31,5.9854
2018-06-30,5.0876
2018-09-30,4.489
2018-12-31,3.691
2019-03-31,4.6786
2019-06-30,5.2871
2019-09-30,5.1973
2019-12-31,9.3671
2020-03-31,9.2275
2020-06-30,20.9489
2020-09-30,32.9196
2020-12-31,105.7418
2021-03-31,116.715
2021-06-30,142.4522
2021-09-30,129.5836
2021-12-31,117.1
2022-03-31,110.0
2022-06-30,117.0
2022-09-30,118.7
2022-12-31,210.2
2023-03-31,139.0
2023-06-30,123.1
2023-09-30,91.55
2023-12-31,89.95
2024-03-31,93.15
2024-06-30,105.9
2024-09-30,83.5
2024-12-31,80.95
2025-03-31,60.5
2025-06-30,86.1
2025-09-30,94.8
2025-12-31,106.9
