QuarterEnd,CCOLA_Close_QuarterEnd
2016-03-31,3.0798
2016-06-30,2.642
2016-09-30,2.7473
2016-12-31,2.49
2017-03-31,2.6811
2017-06-30,3.0541
2017-09-30,2.8166
2017-12-31,2.5882
2018-03-31,2.7138
2018-06-30,2.6213
2018-09-30,2.6089
2018-12-31,2.3864
2019-03-31,2.3446
2019-06-30,2.4117
2019-09-30,2.7184
2019-12-31,3.1236
2020-03-31,2.825
2020-06-30,3.5808
2020-09-30,3.6963
2020-12-31,5.4289
2021-03-31,5.7362
2021-06-30,6.6463
2021-09-30,7.2575
2021-12-31,7.5695
2022-03-31,10.0186
2022-06-30,11.2554
2022-09-30,11.7258
2022-12-31,17.8066
2023-03-31,17.7456
2023-06-30,23.1708
2023-09-30,34.787
2023-12-31,46.3151
2024-03-31,50.9422
2024-06-30,73.5321
2024-09-30,55.8167
2024-12-31,58.7055
2025-03-31,52.3404
2025-06-30,49.2
2025-09-30,46.0
2025-12-31,58.8
