QuarterEnd,CELHA_Close_QuarterEnd
2016-03-31,0.1151
2016-06-30,0.1206
2016-09-30,0.1452
2016-12-31,0.1458
2017-03-31,0.1704
2017-06-30,0.2627
2017-09-30,0.2461
2017-12-31,0.2581
2018-03-31,0.5321
2018-06-30,0.5914
2018-09-30,0.4237
2018-12-31,0.414
2019-03-31,0.374
2019-06-30,0.3058
2019-09-30,0.3402
2019-12-31,0.4981
2020-03-31,0.5311
2020-06-30,0.8154
2020-09-30,0.9441
2020-12-31,1.6415
2021-03-31,1.3063
2021-06-30,1.0736
2021-09-30,1.1078
2021-12-31,1.4633
2022-03-31,1.3352
2022-06-30,1.8028
2022-09-30,2.5741
2022-12-31,6.6321
2023-03-31,5.1921
2023-06-30,5.4413
2023-09-30,9.1091
2023-12-31,7.9879
2024-03-31,14.7318
2024-06-30,8.2674
2024-09-30,9.8763
2024-12-31,7.5922
2025-03-31,7.0391
2025-06-30,7.0678
2025-09-30,9.52
2025-12-31,10.61
