QuarterEnd,CEMAS_Close_QuarterEnd
2016-03-31,0.3657
2016-06-30,0.7706
2016-09-30,0.6335
2016-12-31,0.849
2017-03-31,0.8686
2017-06-30,1.2017
2017-09-30,1.391
2017-12-31,1.2082
2018-03-31,1.5674
2018-06-30,1.587
2018-09-30,2.0898
2018-12-31,0.4963
2019-03-31,0.4898
2019-06-30,0.4572
2019-09-30,0.8359
2019-12-31,0.9927
2020-03-31,0.5939
2020-06-30,1.18
2020-09-30,1.3621
2020-12-31,1.7026
2021-03-31,1.31
2021-06-30,1.17
2021-09-30,1.13
2021-12-31,1.17
2022-03-31,1.14
2022-06-30,1.14
2022-09-30,1.48
2022-12-31,2.6
2023-03-31,1.72
2023-06-30,1.7
2023-09-30,6.08
2023-12-31,4.44
2024-03-31,3.4
2024-06-30,3.73
2024-09-30,3.46
2024-12-31,3.22
2025-03-31,3.28
2025-06-30,8.77
2025-09-30,6.91
2025-12-31,4.04
