QuarterEnd,CEMTS_Close_QuarterEnd
2016-03-31,0.2968
2016-06-30,0.3846
2016-09-30,0.4767
2016-12-31,0.4305
2017-03-31,0.5034
2017-06-30,0.8197
2017-09-30,0.6852
2017-12-31,0.7319
2018-03-31,0.8197
2018-06-30,0.9597
2018-09-30,1.3264
2018-12-31,1.1017
2019-03-31,1.0057
2019-06-30,0.9477
2019-09-30,1.0456
2019-12-31,1.5296
2020-03-31,1.029
2020-06-30,1.5543
2020-09-30,2.7887
2020-12-31,2.9995
2021-03-31,2.9106
2021-06-30,2.4399
2021-09-30,2.4055
2021-12-31,3.5682
2022-03-31,4.055
2022-06-30,4.8033
2022-09-30,6.2759
2022-12-31,12.336
2023-03-31,8.5889
2023-06-30,8.5299
2023-09-30,14.2262
2023-12-31,9.8162
2024-03-31,9.3713
2024-06-30,11.6172
2024-09-30,8.6958
2024-12-31,9.2252
2025-03-31,9.6075
2025-06-30,10.26
2025-09-30,10.85
2025-12-31,11.25
