QuarterEnd,CEOEM_Close_QuarterEnd
2019-06-30,2.2404
2019-09-30,3.128
2019-12-31,3.5163
2020-03-31,2.4239
2020-06-30,3.9847
2020-09-30,4.0999
2020-12-31,6.1738
2021-03-31,6.1066
2021-06-30,9.448
2021-09-30,8.0653
2021-12-31,13.0486
2022-03-31,12.6261
2022-06-30,8.7278
2022-09-30,10.98
2022-12-31,17.7
2023-03-31,16.15
2023-06-30,10.69
2023-09-30,20.98
2023-12-31,19.31
2024-03-31,17.41
2024-06-30,23.5
2024-09-30,51.55
2024-12-31,27.88
2025-03-31,37.32
2025-06-30,32.46
2025-09-30,38.0
2025-12-31,23.74
