QuarterEnd,CIMSA_Close_QuarterEnd
2016-03-31,1.7608
2016-06-30,1.6948
2016-09-30,1.6657
2016-12-31,1.7664
2017-03-31,1.8885
2017-06-30,1.8506
2017-09-30,1.7332
2017-12-31,1.6733
2018-03-31,1.7133
2018-06-30,1.3849
2018-09-30,1.1414
2018-12-31,0.9575
2019-03-31,0.8433
2019-06-30,0.7888
2019-09-30,0.9461
2019-12-31,1.1515
2020-03-31,0.8015
2020-06-30,1.2568
2020-09-30,1.8642
2020-12-31,2.2574
2021-03-31,2.5744
2021-06-30,2.6759
2021-09-30,3.4926
2021-12-31,3.906
2022-03-31,4.5069
2022-06-30,4.4752
2022-09-30,7.6834
2022-12-31,13.2774
2023-03-31,12.3583
2023-06-30,18.0276
2023-09-30,39.6743
2023-12-31,28.0493
2024-03-31,30.076
2024-06-30,30.7563
2024-09-30,34.6478
2024-12-31,46.0258
2025-03-31,50.8655
2025-06-30,48.0
2025-09-30,47.1
2025-12-31,46.5
