QuarterEnd,CLEBI_Close_QuarterEnd
2016-03-31,19.8449
2016-06-30,14.8183
2016-09-30,14.0277
2016-12-31,14.6653
2017-03-31,14.9204
2017-06-30,18.2946
2017-09-30,22.4109
2017-12-31,24.8725
2018-03-31,23.904
2018-06-30,28.7047
2018-09-30,37.5964
2018-12-31,46.2837
2019-03-31,49.8608
2019-06-30,79.3248
2019-09-30,78.7299
2019-12-31,80.9906
2020-03-31,46.0084
2020-06-30,62.5476
2020-09-30,60.2443
2020-12-31,150.7329
2021-03-31,234.2854
2021-06-30,165.8248
2021-09-30,130.3971
2021-12-31,144.5186
2022-03-31,191.8382
2022-06-30,307.6817
2022-09-30,408.1233
2022-12-31,626.2128
2023-03-31,415.1584
2023-06-30,587.3198
2023-09-30,858.6012
2023-12-31,798.7731
2024-03-31,1586.5853
2024-06-30,2422.5352
2024-09-30,1739.8638
2024-12-31,1793.9086
2025-03-31,2797.0562
2025-06-30,1612.0
2025-09-30,1515.0
2025-12-31,1523.0
