QuarterEnd,CMBTN_Close_QuarterEnd
2016-03-31,40.38
2016-06-30,35.1
2016-09-30,35.28
2016-12-31,36.24
2017-03-31,36.3
2017-06-30,36.2
2017-09-30,35.28
2017-12-31,36.92
2018-03-31,38.56
2018-06-30,33.62
2018-09-30,30.34
2018-12-31,28.6
2019-03-31,30.26
2019-06-30,26.0
2019-09-30,29.64
2019-12-31,41.26
2020-03-31,28.5
2020-06-30,60.2
2020-09-30,125.1
2020-12-31,296.5
2021-03-31,315.7
2021-06-30,215.7
2021-09-30,205.0
2021-12-31,210.9
2022-03-31,208.0
2022-06-30,191.8
2022-09-30,264.2
2022-12-31,544.6
2023-03-31,457.4
2023-06-30,522.0
2023-09-30,812.0
2023-12-31,2126.0
2024-03-31,4402.5
2024-06-30,3072.5
2024-09-30,2416.0
2024-12-31,2740.0
2025-03-31,2286.0
2025-06-30,1928.0
2025-09-30,2329.0
2025-12-31,1945.0
